# ----------------------------------------
# 所有網站資料
# 目標對象總覽
# 20141224-20151227
# ----------------------------------------

小時索引,單次工作階段頁數
000000,0.00
000001,0.00
000002,0.00
000003,0.00
000004,0.00
000005,0.00
000006,0.00
000007,0.00
000008,0.00
000009,0.00
000010,0.00
000011,0.00
000012,0.00
000013,0.00
000014,0.00
000015,0.00
000016,0.00
000017,0.00
000018,0.00
000019,0.00
000020,0.00
000021,0.00
000022,0.00
000023,0.00
000024,0.00
000025,0.00
000026,0.00
000027,0.00
000028,0.00
000029,0.00
000030,0.00
000031,0.00
000032,0.00
000033,0.00
000034,0.00
000035,0.00
000036,0.00
000037,0.00
000038,0.00
000039,0.00
000040,0.00
000041,0.00
000042,0.00
000043,0.00
000044,0.00
000045,0.00
000046,0.00
000047,0.00
000048,0.00
000049,0.00
000050,0.00
000051,0.00
000052,0.00
000053,0.00
000054,0.00
000055,0.00
000056,0.00
000057,0.00
000058,0.00
000059,0.00
000060,0.00
000061,0.00
000062,0.00
000063,0.00
000064,0.00
000065,0.00
000066,0.00
000067,0.00
000068,0.00
000069,0.00
000070,0.00
000071,0.00
000072,0.00
000073,0.00
000074,0.00
000075,0.00
000076,0.00
000077,0.00
000078,0.00
000079,0.00
000080,0.00
000081,0.00
000082,0.00
000083,0.00
000084,0.00
000085,0.00
000086,0.00
000087,0.00
000088,0.00
000089,0.00
000090,0.00
000091,0.00
000092,0.00
000093,0.00
000094,0.00
000095,0.00
000096,0.00
000097,0.00
000098,0.00
000099,0.00
000100,0.00
000101,0.00
000102,0.00
000103,0.00
000104,0.00
000105,0.00
000106,0.00
000107,0.00
000108,0.00
000109,0.00
000110,0.00
000111,0.00
000112,0.00
000113,0.00
000114,0.00
000115,0.00
000116,0.00
000117,0.00
000118,0.00
000119,0.00
000120,0.00
000121,0.00
000122,0.00
000123,0.00
000124,0.00
000125,0.00
000126,0.00
000127,0.00
000128,0.00
000129,0.00
000130,0.00
000131,0.00
000132,0.00
000133,0.00
000134,0.00
000135,0.00
000136,0.00
000137,0.00
000138,0.00
000139,0.00
000140,0.00
000141,0.00
000142,0.00
000143,0.00
000144,0.00
000145,0.00
000146,0.00
000147,0.00
000148,0.00
000149,0.00
000150,0.00
000151,0.00
000152,0.00
000153,0.00
000154,0.00
000155,0.00
000156,0.00
000157,0.00
000158,0.00
000159,0.00
000160,0.00
000161,0.00
000162,0.00
000163,0.00
000164,0.00
000165,0.00
000166,0.00
000167,0.00
000168,0.00
000169,0.00
000170,0.00
000171,0.00
000172,0.00
000173,0.00
000174,0.00
000175,0.00
000176,0.00
000177,0.00
000178,0.00
000179,0.00
000180,0.00
000181,0.00
000182,0.00
000183,0.00
000184,0.00
000185,0.00
000186,0.00
000187,0.00
000188,0.00
000189,0.00
000190,0.00
000191,0.00
000192,0.00
000193,0.00
000194,0.00
000195,0.00
000196,0.00
000197,0.00
000198,0.00
000199,0.00
000200,0.00
000201,0.00
000202,0.00
000203,0.00
000204,0.00
000205,0.00
000206,0.00
000207,0.00
000208,0.00
000209,0.00
000210,0.00
000211,0.00
000212,0.00
000213,0.00
000214,0.00
000215,0.00
000216,0.00
000217,0.00
000218,0.00
000219,0.00
000220,0.00
000221,0.00
000222,0.00
000223,0.00
000224,0.00
000225,0.00
000226,0.00
000227,0.00
000228,0.00
000229,0.00
000230,0.00
000231,0.00
000232,0.00
000233,0.00
000234,0.00
000235,0.00
000236,0.00
000237,0.00
