# ----------------------------------------
# 所有網站資料
# 地區
# 20141224-20151227
# ----------------------------------------

國家/地區,工作階段,% 新工作階段,新使用者,跳出率,單次工作階段頁數,平均工作階段時間長度,目標轉換率,目標達成,目標價值
Taiwan,"15,607",64.16%,"10,013",37.32%,10.05,00:04:28,0.00%,0,US$0.00
United States,"1,217",98.27%,"1,196",85.21%,1.46,00:00:31,0.00%,0,US$0.00
(not set),"1,005",100.00%,"1,005",80.40%,3.03,00:00:26,0.00%,0,US$0.00
China,337,98.52%,332,91.10%,1.21,00:00:23,0.00%,0,US$0.00
Russia,174,23.56%,41,93.68%,1.09,00:00:04,0.00%,0,US$0.00
Hong Kong,172,91.86%,158,62.79%,5.88,00:03:03,0.00%,0,US$0.00
Japan,150,93.33%,140,80.00%,3.09,00:00:32,0.00%,0,US$0.00
Malaysia,119,63.03%,75,28.57%,14.18,00:08:56,0.00%,0,US$0.00
Macau,110,68.18%,75,23.64%,14.51,00:05:01,0.00%,0,US$0.00
Germany,107,99.07%,106,89.72%,1.30,00:00:19,0.00%,0,US$0.00
,"20,055",70.50%,"14,139",46.82%,8.45,00:03:41,0.00%,0,US$0.00

