# ----------------------------------------
# 所有網站資料
# 目標對象總覽
# 20141224-20151227
# ----------------------------------------

小時索引,平均工作階段時間長度
000000,00:00:00
000001,00:00:00
000002,00:00:00
000003,00:00:00
000004,00:00:00
000005,00:00:00
000006,00:00:00
000007,00:00:00
000008,00:00:00
000009,00:00:00
000010,00:00:00
000011,00:00:00
000012,00:00:00
000013,00:00:00
000014,00:00:00
000015,00:00:00
000016,00:00:00
000017,00:00:00
000018,00:00:00
000019,00:00:00
000020,00:00:00
000021,00:00:00
000022,00:00:00
000023,00:00:00
000024,00:00:00
000025,00:00:00
000026,00:00:00
000027,00:00:00
000028,00:00:00
000029,00:00:00
000030,00:00:00
000031,00:00:00
000032,00:00:00
000033,00:00:00
000034,00:00:00
000035,00:00:00
000036,00:00:00
000037,00:00:00
000038,00:00:00
000039,00:00:00
000040,00:00:00
000041,00:00:00
000042,00:00:00
000043,00:00:00
000044,00:00:00
000045,00:00:00
000046,00:00:00
000047,00:00:00
000048,00:00:00
000049,00:00:00
000050,00:00:00
000051,00:00:00
000052,00:00:00
000053,00:00:00
000054,00:00:00
000055,00:00:00
000056,00:00:00
000057,00:00:00
000058,00:00:00
000059,00:00:00
000060,00:00:00
000061,00:00:00
000062,00:00:00
000063,00:00:00
000064,00:00:00
000065,00:00:00
000066,00:00:00
000067,00:00:00
000068,00:00:00
000069,00:00:00
000070,00:00:00
000071,00:00:00
000072,00:00:00
000073,00:00:00
000074,00:00:00
000075,00:00:00
000076,00:00:00
000077,00:00:00
000078,00:00:00
000079,00:00:00
000080,00:00:00
000081,00:00:00
000082,00:00:00
000083,00:00:00
000084,00:00:00
000085,00:00:00
000086,00:00:00
000087,00:00:00
000088,00:00:00
000089,00:00:00
000090,00:00:00
000091,00:00:00
000092,00:00:00
000093,00:00:00
000094,00:00:00
000095,00:00:00
000096,00:00:00
000097,00:00:00
000098,00:00:00
000099,00:00:00
000100,00:00:00
000101,00:00:00
000102,00:00:00
000103,00:00:00
000104,00:00:00
000105,00:00:00
000106,00:00:00
000107,00:00:00
000108,00:00:00
000109,00:00:00
000110,00:00:00
000111,00:00:00
000112,00:00:00
000113,00:00:00
000114,00:00:00
000115,00:00:00
000116,00:00:00
000117,00:00:00
000118,00:00:00
000119,00:00:00
000120,00:00:00
000121,00:00:00
000122,00:00:00
000123,00:00:00
000124,00:00:00
000125,00:00:00
000126,00:00:00
000127,00:00:00
000128,00:00:00
000129,00:00:00
000130,00:00:00
000131,00:00:00
000132,00:00:00
000133,00:00:00
000134,00:00:00
000135,00:00:00
000136,00:00:00
000137,00:00:00
000138,00:00:00
000139,00:00:00
000140,00:00:00
000141,00:00:00
000142,00:00:00
000143,00:00:00
000144,00:00:00
000145,00:00:00
000146,00:00:00
000147,00:00:00
000148,00:00:00
000149,00:00:00
000150,00:00:00
000151,00:00:00
000152,00:00:00
000153,00:00:00
000154,00:00:00
000155,00:00:00
000156,00:00:00
000157,00:00:00
000158,00:00:00
000159,00:00:00
000160,00:00:00
000161,00:00:00
000162,00:00:00
000163,00:00:00
000164,00:00:00
000165,00:00:00
000166,00:00:00
000167,00:00:00
000168,00:00:00
000169,00:00:00
000170,00:00:00
000171,00:00:00
000172,00:00:00
000173,00:00:00
000174,00:00:00
000175,00:00:00
000176,00:00:00
000177,00:00:00
000178,00:00:00
000179,00:00:00
000180,00:00:00
000181,00:00:00
000182,00:00:00
000183,00:00:00
000184,00:00:00
000185,00:00:00
000186,00:00:00
000187,00:00:00
000188,00:00:00
000189,00:00:00
000190,00:00:00
000191,00:00:00
000192,00:00:00
000193,00:00:00
000194,00:00:00
000195,00:00:00
000196,00:00:00
000197,00:00:00
000198,00:00:00
000199,00:00:00
000200,00:00:00
000201,00:00:00
000202,00:00:00
000203,00:00:00
000204,00:00:00
000205,00:00:00
000206,00:00:00
000207,00:00:00
000208,00:00:00
000209,00:00:00
000210,00:00:00
000211,00:00:00
000212,00:00:00
000213,00:00:00
000214,00:00:00
000215,00:00:00
000216,00:00:00
000217,00:00:00
000218,00:00:00
000219,00:00:00
000220,00:00:00
000221,00:00:00
000222,00:00:00
000223,00:00:00
000224,00:00:00
000225,00:00:00
000226,00:00:00
000227,00:00:00
000228,00:00:00
000229,00:00:00
000230,00:00:00
000231,00:00:00
000232,00:00:00
000233,00:00:00
000234,00:00:00
000235,00:00:00
000236,00:00:00
000237,00:00:00
000238,00:00:00
000239,00:00:00
000240,00:00:00
000241,00:00:00
000242,00:00:00
000243,00:00:00
000244,00:00:00
000245,00:00:00
000246,00:00:00
000247,00:00:00
000248,00:00:00
000249,00:00:00
000250,00:00:00
000251,00:00:00
000252,00:00:00
000253,00:00:00
000254,00:00:00
000255,00:00:00
000256,00:00:00
000257,00:00:00
000258,00:00:00
000259,00:00:00
000260,00:00:00
000261,00:00:00
000262,00:00:00
000263,00:00:00
000264,00:00:00
000265,00:00:00
000266,00:00:00
000267,00:00:00
000268,00:00:00
000269,00:00:00
000270,00:00:00
000271,00:00:00
000272,00:00:00
000273,00:00:00
000274,00:00:00
000275,00:00:00
000276,00:00:00
000277,00:00:00
000278,00:00:00
000279,00:00:00
000280,00:00:00
000281,00:00:00
000282,00:00:00
000283,00:00:00
000284,00:00:00
000285,00:00:00
000286,00:00:00
000287,00:00:00
000288,00:00:00
000289,00:00:00
000290,00:00:00
000291,00:00:00
000292,00:00:00
000293,00:00:00
000294,00:00:00
000295,00:00:00
000296,00:00:00
000297,00:00:00
000298,00:00:00
000299,00:00:00
000300,00:00:00
000301,00:00:00
000302,00:00:00
000303,00:00:00
000304,00:00:00
000305,00:00:00
000306,00:00:00
000307,00:00:00
000308,00:00:00
000309,00:00:00
000310,00:00:00
000311,00:00:00
000312,00:00:00
000313,00:00:00
000314,00:00:00
000315,00:00:00
000316,00:00:00
000317,00:00:00
000318,00:00:00
000319,00:00:00
000320,00:00:00
000321,00:00:00
000322,00:00:00
000323,00:00:00
000324,00:00:00
000325,00:00:00
000326,00:00:00
000327,00:00:00
000328,00:00:00
000329,00:00:00
000330,00:00:00
000331,00:00:00
000332,00:00:00
000333,00:00:00
000334,00:00:00
000335,00:00:00
000336,00:00:00
000337,00:00:00
000338,00:00:00
000339,00:00:00
000340,00:00:00
000341,00:00:00
000342,00:00:00
000343,00:00:00
000344,00:00:00
000345,00:00:00
000346,00:00:00
000347,00:00:00
000348,00:00:00
000349,00:00:00
000350,00:00:00
000351,00:00:00
000352,00:00:00
000353,00:00:00
000354,00:00:00
000355,00:00:00
000356,00:00:00
000357,00:00:00
000358,00:00:00
000359,00:00:00
000360,00:00:00
000361,00:00:00
000362,00:00:00
000363,00:00:00
000364,00:00:00
000365,00:00:00
000366,00:00:00
000367,00:00:00
000368,00:00:00
000369,00:00:00
000370,00:00:00
000371,00:00:00
000372,00:00:00
000373,00:00:00
000374,00:00:00
000375,00:00:00
000376,00:00:00
000377,00:00:00
000378,00:00:00
000379,00:00:00
000380,00:00:00
000381,00:00:00
000382,00:00:00
000383,00:00:00
000384,00:00:00
000385,00:00:00
000386,00:00:00
000387,00:00:00
000388,00:00:00
000389,00:00:00
000390,00:00:00
000391,00:00:00
000392,00:00:00
000393,00:00:00
000394,00:00:00
000395,00:00:00
000396,00:00:00
000397,00:00:00
000398,00:00:00
000399,00:00:00
000400,00:00:00
000401,00:00:00
000402,00:00:00
000403,00:00:00
000404,00:00:00
000405,00:00:00
000406,00:00:00
000407,00:00:00
