# ----------------------------------------
# 所有網站資料
# 裝置
# 20141224-20151227
# ----------------------------------------

行動裝置資訊,工作階段,% 新工作階段,新使用者,跳出率,單次工作階段頁數,平均工作階段時間長度,目標轉換率,目標達成,目標價值
Apple iPhone,"1,322",66.79%,883,46.75%,7.66,00:02:27,0.00%,0,US$0.00
(not set),475,72.63%,345,41.47%,9.18,00:02:20,0.00%,0,US$0.00
Apple iPad,208,81.25%,169,54.33%,4.96,00:01:42,0.00%,0,US$0.00
Asus T00F,105,80.00%,84,41.90%,11.40,00:02:40,0.00%,0,US$0.00
HTC D816x Desire,85,62.35%,53,45.88%,9.01,00:02:21,0.00%,0,US$0.00
HTC One 801e One,68,86.76%,59,39.71%,7.60,00:02:30,0.00%,0,US$0.00
HTC Butterfly HTC Deluxe,66,59.09%,39,43.94%,12.00,00:07:37,0.00%,0,US$0.00
HTC M8x One M8,66,69.70%,46,39.39%,8.88,00:02:20,0.00%,0,US$0.00
SonyEricsson C6602 Xperia Z,60,76.67%,46,55.00%,7.63,00:01:48,0.00%,0,US$0.00
Sony D6503 Xperia Z2,56,75.00%,42,32.14%,13.98,00:02:15,0.00%,0,US$0.00
,"4,229",72.22%,"3,054",44.88%,8.54,00:02:41,0.00%,0,US$0.00

日索引,工作階段
2014/12/24,0
2014/12/25,0
2014/12/26,0
2014/12/27,0
2014/12/28,0
2014/12/29,0
2014/12/30,0
2014/12/31,0
2015/1/1,0
2015/1/2,0
2015/1/3,0
2015/1/4,0
2015/1/5,0
2015/1/6,0
2015/1/7,0
2015/1/8,0
2015/1/9,0
2015/1/10,0
2015/1/11,0
2015/1/12,0
2015/1/13,0
2015/1/14,0
2015/1/15,0
2015/1/16,0
2015/1/17,0
2015/1/18,0
2015/1/19,0
2015/1/20,0
2015/1/21,0
2015/1/22,0
2015/1/23,0
2015/1/24,0
2015/1/25,171
2015/1/26,103
2015/1/27,39
2015/1/28,40
2015/1/29,43
2015/1/30,21
2015/1/31,24
2015/2/1,13
2015/2/2,5
2015/2/3,5
2015/2/4,38
2015/2/5,28
2015/2/6,11
2015/2/7,12
2015/2/8,7
2015/2/9,3
2015/2/10,5
2015/2/11,0
2015/2/12,0
2015/2/13,3
2015/2/14,2
2015/2/15,51
2015/2/16,136
2015/2/17,16
2015/2/18,1
2015/2/19,3
2015/2/20,5
2015/2/21,10
2015/2/22,7
2015/2/23,17
2015/2/24,24
2015/2/25,92
2015/2/26,59
2015/2/27,6
2015/2/28,9
2015/3/1,9
2015/3/2,68
2015/3/3,41
2015/3/4,34
2015/3/5,15
2015/3/6,18
2015/3/7,11
2015/3/8,7
2015/3/9,13
2015/3/10,17
2015/3/11,16
2015/3/12,6
2015/3/13,3
2015/3/14,2
2015/3/15,1
