# ----------------------------------------
# 所有網站資料
# 總覽
# 20141224-20151227
# ----------------------------------------

裝置類別,工作階段,% 新工作階段,新使用者,跳出率,單次工作階段頁數,平均工作階段時間長度,目標轉換率,目標達成,目標價值
desktop,"15,826",70.04%,"11,085",47.33%,8.42,00:03:57,0.00%,0,US$0.00
mobile,"3,907",71.56%,"2,796",44.43%,8.71,00:02:43,0.00%,0,US$0.00
tablet,322,80.12%,258,50.31%,6.52,00:02:09,0.00%,0,US$0.00
,"20,055",70.50%,"14,139",46.82%,8.45,00:03:41,0.00%,0,US$0.00

日索引,工作階段
2014/12/24,0
2014/12/25,0
2014/12/26,0
2014/12/27,0
2014/12/28,0
2014/12/29,0
2014/12/30,0
2014/12/31,0
2015/1/1,0
2015/1/2,0
2015/1/3,0
2015/1/4,0
2015/1/5,0
2015/1/6,0
2015/1/7,0
2015/1/8,0
2015/1/9,0
2015/1/10,0
2015/1/11,0
2015/1/12,0
2015/1/13,0
2015/1/14,0
2015/1/15,0
2015/1/16,0
2015/1/17,0
2015/1/18,0
2015/1/19,0
2015/1/20,0
2015/1/21,0
2015/1/22,0
2015/1/23,0
2015/1/24,0
2015/1/25,685
2015/1/26,590
2015/1/27,276
2015/1/28,246
2015/1/29,229
2015/1/30,80
2015/1/31,83
2015/2/1,47
2015/2/2,40
2015/2/3,36
2015/2/4,134
2015/2/5,182
2015/2/6,63
2015/2/7,56
2015/2/8,26
2015/2/9,20
2015/2/10,28
2015/2/11,16
2015/2/12,21
2015/2/13,34
2015/2/14,17
2015/2/15,139
2015/2/16,391
2015/2/17,60
2015/2/18,13
2015/2/19,23
2015/2/20,18
2015/2/21,29
2015/2/22,41
2015/2/23,91
2015/2/24,197
2015/2/25,415
2015/2/26,182
2015/2/27,81
2015/2/28,62
2015/3/1,80
2015/3/2,221
2015/3/3,144
2015/3/4,134
2015/3/5,82
2015/3/6,43
2015/3/7,41
2015/3/8,35
2015/3/9,45
2015/3/10,56
2015/3/11,65
2015/3/12,26
2015/3/13,24
2015/3/14,16
2015/3/15,17
2015/3/16,57
2015/3/17,36
2015/3/18,23
2015/3/19,27
2015/3/20,35
2015/3/21,37
2015/3/22,8
2015/3/23,28
2015/3/24,8
2015/3/25,22
2015/3/26,48
2015/3/27,11
2015/3/28,14
2015/3/29,11
2015/3/30,28
2015/3/31,11
2015/4/1,47
2015/4/2,19
2015/4/3,15
2015/4/4,4
2015/4/5,7
2015/4/6,7
2015/4/7,6
2015/4/8,14
2015/4/9,8
2015/4/10,15
2015/4/11,8
2015/4/12,3
2015/4/13,8
2015/4/14,12
2015/4/15,10
2015/4/16,16
2015/4/17,12
2015/4/18,20
2015/4/19,18
2015/4/20,17
2015/4/21,13
2015/4/22,18
